id,popularity,budget,revenue,original_title,cast,runtime,genres,vote_count,vote_average,release_year,budget_adj,revenue_adj,profit,profitability_ratio,revenue_rating,decades,director_split
135397,32.985763,150000000,1513528810,Jurassic World,Chris Pratt|Bryce Dallas Howard|Irrfan Khan|Vincent D'Onofrio|Nick Robinson,124,Action|Adventure|Science Fiction|Thriller,5562,6.5,2015,137999939.280026,1392445892.5238,1363528810,90,billions,twenty_ten,Colin Trevorrow
76341,28.419936,150000000,378436354,Mad Max: Fury Road,Tom Hardy|Charlize Theron|Hugh Keays-Byrne|Nicholas Hoult|Josh Helman,120,Action|Adventure|Science Fiction|Thriller,6185,7.1,2015,137999939.280026,348161292.489031,228436354,60,millions,twenty_ten,George Miller
262500,13.112507,110000000,295238201,Insurgent,Shailene Woodley|Theo James|Kate Winslet|Ansel Elgort|Miles Teller,119,Adventure|Science Fiction|Thriller,2480,6.3,2015,101199955.47201899,271619025.407628,185238201,62,millions,twenty_ten,Robert Schwentke
140607,11.173103999999999,200000000,2068178225,Star Wars: The Force Awakens,Harrison Ford|Mark Hamill|Carrie Fisher|Adam Driver|Daisy Ridley,136,Action|Adventure|Science Fiction|Fantasy,5292,7.5,2015,183999919.040035,1902723129.80182,1868178225,90,billions,twenty_ten,J.J. Abrams
168259,9.335014,190000000,1506249360,Furious 7,Vin Diesel|Paul Walker|Jason Statham|Michelle Rodriguez|Dwayne Johnson,137,Action|Crime|Thriller,2947,7.3,2015,174799923.08803302,1385748801.47052,1316249360,87,billions,twenty_ten,James Wan
281957,9.1107,135000000,532950503,The Revenant,Leonardo DiCaprio|Tom Hardy|Will Poulter|Domhnall Gleeson|Paul Anderson,156,Western|Drama|Adventure|Thriller,3929,7.2,2015,124199945.352024,490314247.02173096,397950503,74,millions,twenty_ten,Alejandro GonzÃ¡lez IÃ±Ã¡rritu
87101,8.654359,155000000,440603537,Terminator Genisys,Arnold Schwarzenegger|Jason Clarke|Emilia Clarke|Jai Courtney|J.K. Simmons,125,Science Fiction|Action|Thriller|Adventure,2598,5.8,2015,142599937.256027,405355075.683766,285603537,64,millions,twenty_ten,Alan Taylor
286217,7.6674,108000000,595380321,The Martian,Matt Damon|Jessica Chastain|Kristen Wiig|Jeff Daniels|Michael PeÃ±a,141,Drama|Adventure|Science Fiction,4572,7.6,2015,99359956.2816192,547749654.3101519,487380321,81,millions,twenty_ten,Ridley Scott
211672,7.40416499999999,74000000,1156730962,Minions,Sandra Bullock|Jon Hamm|Michael Keaton|Allison Janney|Steve Coogan,91,Family|Animation|Adventure|Comedy,2893,6.5,2015,68079970.0448131,1064192016.7955099,1082730962,93,billions,twenty_ten,Kyle Balda
211672,7.40416499999999,74000000,1156730962,Minions,Sandra Bullock|Jon Hamm|Michael Keaton|Allison Janney|Steve Coogan,91,Family|Animation|Adventure|Comedy,2893,6.5,2015,68079970.0448131,1064192016.7955099,1082730962,93,billions,twenty_ten,Pierre Coffin
150540,6.326804,175000000,853708609,Inside Out,Amy Poehler|Phyllis Smith|Richard Kind|Bill Hader|Lewis Black,94,Comedy|Animation|Family,3935,8.0,2015,160999929.16003102,785411574.698907,678708609,79,millions,twenty_ten,Pete Docter
206647,6.200282,245000000,880674609,Spectre,Daniel Craig|Christoph Waltz|LÃ©a Seydoux|Ralph Fiennes|Monica Bellucci,148,Action|Adventure|Crime,3254,6.2,2015,225399900.824043,810220283.783075,635674609,72,millions,twenty_ten,Sam Mendes
76757,6.189369,176000003,183987723,Jupiter Ascending,Mila Kunis|Channing Tatum|Sean Bean|Eddie Redmayne|Douglas Booth,124,Science Fiction|Fantasy|Action|Adventure,1937,5.2,2015,161919931.51523,169268630.681802,7987720,4,millions,twenty_ten,Lana Wachowski
76757,6.189369,176000003,183987723,Jupiter Ascending,Mila Kunis|Channing Tatum|Sean Bean|Eddie Redmayne|Douglas Booth,124,Science Fiction|Fantasy|Action|Adventure,1937,5.2,2015,161919931.51523,169268630.681802,7987720,4,millions,twenty_ten,Lilly Wachowski
264660,6.118847,15000000,36869414,Ex Machina,Domhnall Gleeson|Alicia Vikander|Oscar Isaac|Sonoya Mizuno|Corey Johnson,108,Drama|Science Fiction,2854,7.6,2015,13799993.9280026,33919845.9552677,21869414,59,millions,twenty_ten,Alex Garland
257344,5.984995,88000000,243637091,Pixels,Adam Sandler|Michelle Monaghan|Peter Dinklage|Josh Gad|Kevin James,105,Action|Comedy|Science Fiction,1575,5.8,2015,80959964.37761559,224146025.095748,155637091,63,millions,twenty_ten,Chris Columbus
99861,5.944927,280000000,1405035767,Avengers: Age of Ultron,Robert Downey Jr.|Chris Hemsworth|Mark Ruffalo|Chris Evans|Scarlett Johansson,141,Action|Adventure|Science Fiction,4304,7.4,2015,257599886.656049,1292632336.88177,1125035767,80,billions,twenty_ten,Joss Whedon
273248,5.8984,44000000,155760117,The Hateful Eight,Samuel L. Jackson|Kurt Russell|Jennifer Jason Leigh|Walton Goggins|DemiÃ¡n Bichir,167,Crime|Drama|Mystery|Western,2389,7.4,2015,40479982.18880779,143299244.588332,111760117,71,millions,twenty_ten,Quentin Tarantino
260346,5.749758,48000000,325771424,Taken 3,Liam Neeson|Forest Whitaker|Maggie Grace|Famke Janssen|Dougray Scott,109,Crime|Action|Thriller,1578,6.1,2015,44159980.5696085,299709578.207785,277771424,85,millions,twenty_ten,Olivier Megaton
102899,5.5731839999999995,130000000,518602163,Ant-Man,Paul Rudd|Michael Douglas|Evangeline Lilly|Corey Stoll|Bobby Cannavale,115,Science Fiction|Action|Adventure,3779,7.0,2015,119599947.376023,477113780.029936,388602163,74,millions,twenty_ten,Peyton Reed
150689,5.556818,95000000,542351353,Cinderella,Lily James|Cate Blanchett|Richard Madden|Helena Bonham Carter|Holliday Grainger,112,Romance|Fantasy|Family|Drama,1495,6.8,2015,87399961.54401691,498963025.21626794,447351353,82,millions,twenty_ten,Kenneth Branagh
131634,5.476958,160000000,650523427,The Hunger Games: Mockingjay - Part 2,Jennifer Lawrence|Josh Hutcherson|Liam Hemsworth|Woody Harrelson|Elizabeth Banks,136,War|Adventure|Science Fiction,2380,6.5,2015,147199935.232028,598481289.508232,490523427,75,millions,twenty_ten,Francis Lawrence
158852,5.4621379999999995,190000000,209035668,Tomorrowland,Britt Robertson|George Clooney|Raffey Cassidy|Thomas Robinson|Hugh Laurie,130,Action|Family|Science Fiction|Adventure|Mystery,1899,6.2,2015,174799923.08803302,192312729.942398,19035668,9,millions,twenty_ten,Brad Bird
307081,5.337064,30000000,91709827,Southpaw,Jake Gyllenhaal|Rachel McAdams|Forest Whitaker|Oona Laurence|50 Cent,123,Action|Drama,1386,7.3,2015,27599987.856005296,84373003.7158783,61709827,67,millions,twenty_ten,Antoine Fuqua
254128,4.907832,110000000,470490832,San Andreas,Dwayne Johnson|Alexandra Daddario|Carla Gugino|Ioan Gruffudd|Archie Panjabi,114,Action|Drama|Thriller,2060,6.1,2015,101199955.47201899,432851374.985395,360490832,76,millions,twenty_ten,Brad Peyton
216015,4.71040199999999,40000000,569651467,Fifty Shades of Grey,Dakota Johnson|Jamie Dornan|Jennifer Ehle|Eloise Mumford|Victor Rasuk,125,Drama|Romance,1865,5.3,2015,36799983.808007106,524079119.045187,529651467,92,millions,twenty_ten,Sam Taylor-Johnson
318846,4.648046,28000000,133346506,The Big Short,Christian Bale|Steve Carell|Ryan Gosling|Brad Pitt|Melissa Leo,130,Comedy|Drama,1545,7.3,2015,25759988.665604897,122678731.54135801,105346506,79,millions,twenty_ten,Adam McKay
177677,4.566713,150000000,682330139,Mission: Impossible - Rogue Nation,Tom Cruise|Jeremy Renner|Simon Pegg|Rebecca Ferguson|Ving Rhames,131,Action,2349,7.1,2015,137999939.280026,627743451.672881,532330139,78,millions,twenty_ten,Christopher McQuarrie
214756,4.5645489999999995,68000000,215863606,Ted 2,Mark Wahlberg|Seth MacFarlane|Amanda Seyfried|Jessica Barth|Giovanni Ribisi,115,Comedy,1666,6.3,2015,62559972.4736121,198594430.13845,147863606,68,millions,twenty_ten,Seth MacFarlane
207703,4.503789,81000000,403802136,Kingsman: The Secret Service,Taron Egerton|Colin Firth|Samuel L. Jackson|Michael Caine|Mark Strong,130,Crime|Comedy|Action|Adventure,3833,7.6,2015,74519967.21121441,371497801.660967,322802136,79,millions,twenty_ten,Matthew Vaughn
314365,4.062293,20000000,88346473,Spotlight,Mark Ruffalo|Michael Keaton|Rachel McAdams|Liev Schreiber|John Slattery,128,Drama|Thriller|History,1559,7.8,2015,18399991.9040035,81278719.39736341,68346473,77,millions,twenty_ten,Tom McCarthy
294254,3.968891,61000000,311256926,Maze Runner: The Scorch Trials,Dylan O'Brien|Kaya Scodelario|Thomas Brodie-Sangster|Giancarlo Esposito|Aidan Gillen,132,Action|Science Fiction|Thriller,1849,6.4,2015,56119975.30721079,286356245.923251,250256926,80,millions,twenty_ten,Wes Ball
280996,3.927333,0,29355203,Mr. Holmes,Ian McKellen|Milo Parker|Laura Linney|Hattie Morahan|Patrick Kennedy,103,Mystery|Drama,425,6.4,2015,0.0,27006774.877019,29355203,99,millions,twenty_ten,Bill Condon
198184,3.899557,49000000,102069268,Chappie,Sharlto Copley|Dev Patel|Ninja|Yolandi Visser|Jose Pablo Cantillo,120,Crime|Action|Science Fiction,1990,6.6,2015,45079980.164808705,93903685.2423785,53069268,51,millions,twenty_ten,Neill Blomkamp
254470,3.877764,29000000,287506194,Pitch Perfect 2,Anna Kendrick|Rebel Wilson|Hailee Steinfeld|Brittany Snow|Skylar Astin,115,Comedy|Music,1264,6.8,2015,26679988.260805104,264505582.09754303,258506194,89,millions,twenty_ten,Elizabeth Banks
296098,3.6482099999999997,40000000,162610473,Bridge of Spies,Tom Hanks|Mark Rylance|Amy Ryan|Alan Alda|Sebastian Koch,141,Thriller|Drama,1638,7.1,2015,36799983.808007106,149601569.335309,122610473,75,millions,twenty_ten,Steven Spielberg
257445,3.6445410000000003,58000000,150170815,Goosebumps,Jack Black|Dylan Minnette|Odeya Rush|Amy Ryan|Jillian Bell,103,Adventure|Horror|Comedy,600,6.2,2015,53359976.5216103,138157089.01088,92170815,61,millions,twenty_ten,Rob Letterman
264644,3.557846,6000000,35401758,Room,Brie Larson|Jacob Tremblay|Joan Allen|Sean Bridgers|William H. Macy,117,Drama|Thriller,1520,8.0,2015,5519997.57120106,32569603.029374603,29401758,83,millions,twenty_ten,Lenny Abrahamson
