tweet_id,retweet_count,favorite_count
892420643555336193,8330,38089
892177421306343426,6154,32679
891815181378084864,4073,24595
891689557279858688,8474,41449
891327558926688256,9167,39623
891087950875897856,3052,19898
890971913173991426,2024,11624
890729181411237888,18488,64265
890609185150312448,4190,27333
890240255349198849,7229,31363
890006608113172480,7186,30142
889880896479866881,4877,27316
889665388333682689,9856,47282
889638837579907072,4447,26686
889531135344209921,2202,14853
889278841981685760,5266,24813
888917238123831296,4407,28615
888804989199671297,4206,25117
888554962724278272,3481,19490
888078434458587136,3423,21380
887705289381826560,5278,29663
887517139158093824,11446,45486
887473957103951883,17816,67895
887343217045368832,10196,33113
887101392804085760,5849,30059
886983233522544640,7620,34571
886736880519319552,3218,11848
886680336477933568,4372,22051
886366144734445568,3139,20829
886267009285017600,4,115
886258384151887873,6167,27513
886054160059072513,105,0
885984800019947520,6658,32089
885528943205470208,6310,35379
885518971528720385,3687,20086
885311592912609280,18202,0
885167619883638784,4295,21555
884925521741709313,17903,76157
884876753390489601,5506,27460
884562892145688576,4603,23892
884441805382717440,5550,26531
884247878851493888,20100,71791
884162670584377345,2930,20012
883838122936631299,3382,21534
883482846933004288,9754,45160
883360690899218434,3636,22300
883117836046086144,6543,36549
882992080364220416,3852,23553
882762694511734784,4825,27834
882627270321602560,5977,27463
882268110199369728,11381,44204
882045870035918850,4877,28875
881906580714921986,3333,23915
881666595344535552,10471,49760
881633300179243008,7,124
881536004380872706,15659,48619
881268444196462592,5083,22708
880935762899988482,2739,16736
880872448815771648,3749,20920
880465832366813184,6165,28066
880221127280381952,4145,26614
880095782870896641,4279,27171
879862464715927552,3440,21952
879674319642796034,10,305
879492040517615616,3131,23047
879415818425184262,43498,104162
879376492567855104,3065,16506
879130579576475649,6714,0
879050749262655488,4642,22188
879008229531029506,2651,18670
878776093423087618,4060,19098
878604707211726852,7084,29771
878404777348136964,1268,0
878316110768087041,6541,0
878281511006478336,1268,7622
878057613040115712,6714,41373
877736472329191424,18783,78536
877611172832227328,80,0
877556246731214848,3748,22371
877316821321428993,5096,26958
877201837425926144,5499,26713
876838120628539392,3292,20364
876537666061221889,4568,23155
876484053909872640,2364,18468
876120275196170240,4624,27494
875747767867523072,4231,24826
875144289856114688,4857,21592
875097192612077568,5972,27016
875021211251597312,4658,25093
874680097055178752,4581,27421
874434818259525634,14546,0
874296783580663808,4055,25688
874057562936811520,3912,22340
874012996292530176,10289,34097
873580283840344065,3901,23878
873337748698140672,1569,0
873213775632977920,1569,7137
872967104147763200,5355,27002
872820683541237760,3660,14521
872620804844003328,3660,20535
872486979161796608,8947,40191
872261713294495745,6268,33797
872122724285648897,8064,34026
871879754684805121,11081,37560
871762521631449091,3454,20045
871515927908634625,3434,19999
871166179821445120,5672,0
871102520638267392,5477,20723
871032628920680449,3801,22432
870804317367881728,6178,33303
870726314365509632,3,119
870656317836468226,2635,12296
870374049280663552,26133,82037
870308999962521604,4143,21654
870063196459192321,8334,36368
869772420881756160,10021,42102
869702957897576449,6343,28034
869596645499047938,3131,15870
869227993411051520,3785,20318
868880397819494401,14493,65264
868639477480148993,2099,0
868622495443632128,5302,26636
868552278524837888,2099,10085
867900495410671616,4189,24093
867774946302451713,7359,33881
867421006826221569,2514,16065
867072653475098625,121,0
867051520902168576,7903,32175
866720684873056260,4839,20045
866686824827068416,3505,19296
866450705531457537,35492,122083
866334964761202691,14546,52517
866094527597207552,8433,0
865718153858494464,5656,25631
865359393868664832,5039,26485
865006731092295680,7750,28029
864873206498414592,8780,32330
864279568663928832,3063,14658
864197398364647424,9024,30240
863907417377173506,4189,20673
863553081350529029,4227,15351
863471782782697472,2483,0
863432100342583297,5327,23894
863427515083354112,98,2273
863079547188785154,1116,8802
863062471531167744,2483,8561
862831371563274240,5159,19249
862722525377298433,3572,17149
862457590147678208,5031,20641
862096992088072192,23631,74942
861383897657036800,10874,36297
861288531465048066,4219,17300
861005113778896900,3857,16827
860981674716409858,2190,0
860924035999428608,836,0
860563773140209665,2190,7566
860524505164394496,5372,23798
860276583193509888,3540,18446
860184849394610176,5950,16825
860177593139703809,31463,0
859924526012018688,4177,19714
859851578198683649,3576,15547
859607811541651456,1606,18756
859196978902773760,30839,90832
859074603037188101,13899,34227
858860390427611136,8334,0
858843525470990336,3556,15708
858471635011153920,4957,21727
858107933456039936,2982,15902
857989990357356544,2646,16311
857746408056729600,10900,34703
857393404942143489,1689,5989
857263160327368704,4637,20276
857214891891077121,18,230
857062103051644929,177,0
857029823797047296,4119,19201
856602993587888130,10996,0
856543823941562368,2959,16504
856526610513747968,1938,12018
856330835276025856,701,0
856288084350160898,17,527
856282028240666624,6514,28161
855862651834028034,28,351
855860136149123072,1060,5123
855857698524602368,2178,12047
855851453814013952,18275,46192
855818117272018944,5608,27069
855459453768019968,8489,30469
855245323840757760,6191,0
855138241867124737,47,0
854732716440526848,6337,23302
854482394044301312,7124,29926
854365224396361728,4869,19299
854120357044912130,7781,32660
854010172552949760,3282,16564
853760880890318849,6035,29245
853639147608842240,10565,35696
853299958564483072,3723,15908
852936405516943360,2099,0
852912242202992640,1917,9296
852672615818899456,2257,15309
852553447878664193,3676,16817
852311364735569921,10337,34020
852226086759018497,7110,20561
852189679701164033,1664,11796
851953902622658560,10097,0
851861385021730816,23,0
851591660324737024,3639,16682
851464819735769094,7424,25003
851224888060895234,5995,21317
850753642995093505,9749,31985
850380195714523136,2750,13469
850333567704068097,352,3541
850145622816686080,4032,16853
850019790995546112,5156,21119
849776966551130114,7997,31470
849668094696017920,5221,0
849412302885593088,3309,16415
849336543269576704,1992,11817
849051919805034497,8979,43936
848690551926992896,4559,26088
848324959059550208,4845,25629
848213670039564288,786,8468
848212111729840128,3245,16917
847978865427394560,3443,0
847971574464610304,451,0
847962785489326080,5391,24371
847842811428974592,1420,5678
847617282490613760,448,7269
847606175596138505,3586,19478
847251039262605312,4549,21236
847157206088847362,6197,20712
847116187444137987,3385,22242
846874817362120707,4161,20860
846514051647705089,12297,46374
846505985330044928,3275,14667
846153765933735936,9614,32954
846139713627017216,10469,32108
846042936437604353,3071,16626
845812042753855489,9284,30477
845677943972139009,5080,26125
845397057150107648,1921,7947
845306882940190720,5723,24269
845098359547420673,8135,0
844979544864018432,2747,14190
844973813909606400,3420,15742
844704788403113984,10996,40348
844580511645339650,3341,17171
844223788422217728,2340,14212
843981021012017153,3114,15774
